0,123.200000
1,376000400,2.291324
2,376000400,1.266246
3,376000400,0.797056
4,376000400,0.615170
1,380000400,2.228490
2,380000400,1.228752
3,380000400,0.771615
4,380000400,0.607152
1,384000400,2.181087
2,384000400,1.160529
3,384000400,0.816281
4,384000400,0.574932
1,388000400,2.317542
2,388000400,1.328470
3,388000400,0.955095
4,388000400,0.747341
1,392000400,2.381268
2,392000400,1.330946
3,392000400,0.926533
4,392000400,0.806463
1,396000400,2.552341
2,396000400,1.354886
3,396000400,0.922209
4,396000400,0.637358
