num_of_threads,time
2,0.137737
2,5.32041e+06
2,0.0989992
2,0.0050946
3,0.102393
3,5.32041e+06
3,0.0662027
3,0.00339991
4,0.0827663
4,5.32041e+06
4,0.0497067
4,0.00254237
5,0.0700468
5,5.32041e+06
5,0.0397032
5,0.00203255
6,0.0621684
6,5.32041e+06
6,0.0332056
6,0.00170243
7,0.0559571
7,5.32041e+06
7,0.0284133
7,0.00145913
8,0.0518654
8,5.32041e+06
8,0.0249159
8,0.00127881
9,0.048468
9,5.32041e+06
9,0.0221371
9,0.00113574
10,0.0458754
10,5.32041e+06
10,0.0199833
10,0.00102738
11,0.0435297
11,5.32041e+06
11,0.0181898
11,0.000931145
12,0.0419947
12,5.32041e+06
12,0.0167094
12,0.000857296
1,0.244693
1,5.32041e+06
1,0.198006
1,0.0101003
2,0.137996
2,5.32041e+06
2,0.0992723
2,0.00508706
3,0.102497
3,5.32041e+06
3,0.0661768
3,0.00339466
4,0.0827489
4,5.32041e+06
4,0.0497323
4,0.00254457
5,0.0701201
5,5.32041e+06
5,0.0397338
5,0.00203757
6,0.0621801
6,5.32041e+06
6,0.033205
6,0.00170164
7,0.0559612
7,5.32041e+06
7,0.0284197
7,0.00145762
8,0.0518219
8,5.32041e+06
8,0.0249219
8,0.00127605
9,0.0484661
9,5.32041e+06
9,0.0222309
9,0.00114022
10,0.0460235
10,5.32041e+06
10,0.0201742
10,0.00102238
11,0.0434796
11,5.32041e+06
11,0.0181064
11,0.000923823
12,0.0420519
12,5.32041e+06
12,0.0167971
12,0.000855075
1,0.244532
1,5.32041e+06
1,0.19788
1,0.0101131
2,0.137787
2,5.32041e+06
2,0.099035
2,0.00508848
3,0.102695
3,5.32041e+06
3,0.0662806
3,0.00340894
4,0.0826644
4,5.32041e+06
4,0.0496385
4,0.0025378
5,0.0700119
5,5.32041e+06
5,0.039672
5,0.00203689
6,0.061967
6,5.32041e+06
6,0.0331402
6,0.00169935
7,0.0559686
7,5.32041e+06
7,0.0284409
7,0.00145833
8,0.0517866
8,5.32041e+06
8,0.0248625
8,0.00126674
9,0.0483711
9,5.32041e+06
9,0.0221492
9,0.00112914
10,0.0459556
10,5.32041e+06
10,0.0200665
10,0.00102637
11,0.0434591
11,5.32041e+06
11,0.0181447
11,0.000930989
12,0.0419324
12,5.32041e+06
12,0.016714
12,0.000852501
1,0.244694
1,5.32041e+06
1,0.197964
1,0.010099
2,0.138255
2,5.32041e+06
2,0.0991379
2,0.00513204
3,0.10233
3,5.32041e+06
3,0.066043
3,0.00339344
4,0.0827185
4,5.32041e+06
4,0.0496057
4,0.00254722
5,0.0701968
5,5.32041e+06
5,0.0397505
5,0.00203636
6,0.0621534
6,5.32041e+06
6,0.0331913
6,0.00169766
7,0.0559183
7,5.32041e+06
7,0.02844
7,0.00146156
8,0.0518838
8,5.32041e+06
8,0.0249325
8,0.00127237
9,0.0484942
9,5.32041e+06
9,0.0222118
9,0.00113877
10,0.0456926
10,5.32041e+06
10,0.0199161
10,0.00102887
11,0.04362
11,5.32041e+06
11,0.0182066
11,0.000928544
12,0.0419312
12,5.32041e+06
12,0.0167666
12,0.000852896
1,0.244613
1,5.32041e+06
1,0.198075
1,0.0101
2,0.137602
2,5.32041e+06
2,0.0989414
2,0.00508659
3,0.102397
3,5.32041e+06
3,0.0661434
3,0.00338481
4,0.0826567
4,5.32041e+06
4,0.0496079
4,0.00254382
5,0.0701057
5,5.32041e+06
5,0.0397729
5,0.00202875
6,0.0621051
6,5.32041e+06
6,0.0331116
6,0.0016992
7,0.05599
7,5.32041e+06
7,0.0285072
7,0.00146129
8,0.0518183
8,5.32041e+06
8,0.0248818
8,0.00127218
9,0.0485011
9,5.32041e+06
9,0.0222547
